Tipo contaminante,Comuna,Ciudad,Tipo de emision,Año,Tipo vehículo,emicom_cantprom_anual
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,02268"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,01674"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,02218"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,02268"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,0062"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00545"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00093"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00248"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00381"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00093"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00685"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00908"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00093"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,0005"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00044"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,02597"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,0002"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00031"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,02597"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00056"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00074"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,02597"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,01237"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,01087"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,24962"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00495"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,0076"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,24962"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,01366"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,01811"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,24962"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,01237"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,01087"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,10831"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00495"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,0076"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,10831"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,01366"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,01811"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,10831"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,02475"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,02174"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,05739"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,0099"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,01521"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,05739"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,02733"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,03623"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,05739"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00079"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00067"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00945"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00031"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00047"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00945"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00081"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00112"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00945"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00224"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00189"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,01174"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00089"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00132"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,01174"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00229"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00315"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,01174"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00605"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,0051"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,03166"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,0024"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00357"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,03166"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00617"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00851"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,03166"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,0017"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00143"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00239"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00067"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,001"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00239"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00173"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00239"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00239"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00019"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00016"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00002"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00007"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00011"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00002"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,0002"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00028"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00002"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00077"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00065"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,01244"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,0003"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00045"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,01244"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00079"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00108"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,01244"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Moto,"0,00678"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Moto,"0,00513"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Moto,"0,14674"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Moto,"0,00275"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Moto,"0,00359"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Moto,"0,14674"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Moto,"0,00697"
